true_values,predicted_values,abs_loss
1.753,1.361,0.3919999999999999
2.373,1.753,0.6200000000000003
2.75,2.373,0.3769999999999998
2.292,2.75,0.4580000000000002
2.021,2.292,0.2709999999999999
2.089,2.021,0.06800000000000006
1.984,2.089,0.10499999999999998
1.92,1.984,0.06400000000000006
2.023,1.92,0.1030000000000002
2.408,2.023,0.3849999999999998
2.589,2.408,0.18100000000000005
2.445,2.589,0.14400000000000013
2.449,2.445,0.0040000000000000036
2.268,2.449,0.18100000000000005
2.278,2.268,0.010000000000000231
2.32,2.278,0.041999999999999815
2.262,2.32,0.05799999999999983
2.279,2.262,0.016999999999999904
2.312,2.279,0.03299999999999992
2.339,2.312,0.027000000000000135
2.446,2.339,0.1070000000000002
2.526,2.446,0.07999999999999963
2.738,2.526,0.2120000000000002
2.726,2.738,0.01200000000000001
1.898,2.726,0.8280000000000001
1.389,1.898,0.5089999999999999
1.287,1.389,0.10200000000000009
1.227,1.287,0.05999999999999983
0.914,1.227,0.31300000000000006
0.768,0.914,0.14600000000000002
0.837,0.768,0.06899999999999995
0.916,0.837,0.07900000000000007
0.835,0.916,0.08100000000000007
0.769,0.835,0.06599999999999995
0.64,0.769,0.129
0.627,0.64,0.013000000000000012
0.614,0.627,0.013000000000000012
0.518,0.614,0.09599999999999997
0.586,0.518,0.06799999999999995
0.798,0.586,0.21200000000000008
0.846,0.798,0.04799999999999993
0.726,0.846,0.12
0.68,0.726,0.04599999999999993
0.751,0.68,0.07099999999999995
0.915,0.751,0.16400000000000003
1.191,0.915,0.276
1.519,1.191,0.32799999999999985
1.813,1.519,0.29400000000000004
2.356,1.813,0.5429999999999999
3.334,2.356,0.9780000000000002
4.021,3.334,0.6869999999999998
3.938,4.021,0.08299999999999974
3.985,3.938,0.04699999999999971
4.452,3.985,0.4670000000000001
4.796,4.452,0.3440000000000003
5.575,4.796,0.7789999999999999
5.583,5.575,0.008000000000000007
5.729,5.583,0.1459999999999999
5.868,5.729,0.13900000000000023
5.982,5.868,0.11399999999999988
5.998,5.982,0.016000000000000014
5.732,5.998,0.266
5.767,5.732,0.03500000000000014
5.9,5.767,0.133
5.87,5.9,0.03000000000000025
6.632,5.87,0.7619999999999996
6.984,6.632,0.3520000000000003
6.175,6.984,0.8090000000000002
6.139,6.175,0.03599999999999959
5.957,6.139,0.18200000000000038
5.675,5.957,0.28200000000000003
4.945,5.675,0.7299999999999995
4.27,4.945,0.6750000000000007
3.716,4.27,0.5539999999999994
3.306,3.716,0.41000000000000014
3.081,3.306,0.2250000000000001
2.066,3.081,1.0150000000000001
1.499,2.066,0.5669999999999997
1.241,1.499,0.258
0.939,1.241,0.30200000000000016
0.896,0.939,0.04299999999999993
0.94,0.896,0.04399999999999993
1.112,0.94,0.17200000000000015
1.186,1.112,0.07399999999999984
1.286,1.186,0.10000000000000009
1.274,1.286,0.01200000000000001
1.174,1.274,0.10000000000000009
1.053,1.174,0.121
0.811,1.053,0.24199999999999988
0.767,0.811,0.04400000000000004
0.918,0.767,0.15100000000000002
1.041,0.918,0.12299999999999989
0.98,1.041,0.06099999999999994
0.769,0.98,0.21099999999999997
0.675,0.769,0.09399999999999997
0.687,0.675,0.01200000000000001
0.843,0.687,0.15599999999999992
0.971,0.843,0.128
1.206,0.971,0.235
1.498,1.206,0.29200000000000004
1.464,1.498,0.03400000000000003
1.436,1.464,0.028000000000000025
1.544,1.436,0.1080000000000001
1.862,1.544,0.31800000000000006
2.193,1.862,0.33099999999999996
2.551,2.193,0.3580000000000001
2.761,2.551,0.20999999999999996
2.891,2.761,0.1299999999999999
3.19,2.891,0.29899999999999993
3.01,3.19,0.18000000000000016
3.068,3.01,0.058000000000000274
5.212,3.068,2.1439999999999997
9.24,5.212,4.0280000000000005
10.366,9.24,1.1259999999999994
5.808,10.366,4.558
2.566,5.808,3.242
1.044,2.566,1.5219999999999998
0.343,1.044,0.7010000000000001
0.253,0.343,0.09000000000000002
0.703,0.253,0.44999999999999996
1.193,0.703,0.4900000000000001
0.916,1.193,0.277
2.465,0.916,1.549
3.471,2.465,1.0060000000000002
2.071,3.471,1.4
1.228,2.071,0.8430000000000002
1.666,1.228,0.43799999999999994
2.858,1.666,1.1920000000000002
2.286,2.858,0.5720000000000001
1.656,2.286,0.6300000000000001
1.522,1.656,0.1339999999999999
1.763,1.522,0.24099999999999988
2.079,1.763,0.3160000000000003
2.316,2.079,0.23699999999999966
2.24,2.316,0.07599999999999962
2.449,2.24,0.20899999999999963
3.299,2.449,0.8500000000000001
4.52,3.299,1.2209999999999996
5.234,4.52,0.7140000000000004
5.434,5.234,0.20000000000000018
5.717,5.434,0.2829999999999995
6.167,5.717,0.4500000000000002
6.695,6.167,0.5280000000000005
6.913,6.695,0.21799999999999997
6.589,6.913,0.32399999999999984
6.151,6.589,0.4380000000000006
5.962,6.151,0.18900000000000006
5.968,5.962,0.006000000000000227
6.084,5.968,0.11599999999999966
6.311,6.084,0.2270000000000003
6.64,6.311,0.32899999999999974
7.067,6.64,0.4270000000000005
7.415,7.067,0.34799999999999986
7.694,7.415,0.2789999999999999
7.72,7.694,0.0259999999999998
7.894,7.72,0.17400000000000038
7.988,7.894,0.0940000000000003
7.743,7.988,0.2450000000000001
7.444,7.743,0.2990000000000004
7.426,7.444,0.017999999999999794
7.364,7.426,0.06200000000000028
7.415,7.364,0.051000000000000156
7.65,7.415,0.23500000000000032
7.815,7.65,0.16500000000000004
8.19,7.815,0.3749999999999991
8.381,8.19,0.19100000000000072
8.451,8.381,0.07000000000000028
8.599,8.451,0.1479999999999997
8.746,8.599,0.14700000000000024
8.798,8.746,0.0519999999999996
8.501,8.798,0.2970000000000006
8.202,8.501,0.2989999999999995
7.947,8.202,0.2549999999999999
7.445,7.947,0.5019999999999998
7.112,7.445,0.3330000000000002
7.084,7.112,0.02800000000000047
7.127,7.084,0.04300000000000015
6.995,7.127,0.13199999999999967
6.282,6.995,0.7130000000000001
5.992,6.282,0.29000000000000004
6.062,5.992,0.07000000000000028
6.123,6.062,0.06099999999999994
6.205,6.123,0.08199999999999985
6.039,6.205,0.16600000000000037
5.962,6.039,0.07699999999999996
6.567,5.962,0.6050000000000004
7.308,6.567,0.7409999999999997
8.38,7.308,1.072000000000001
9.009,8.38,0.6289999999999996
9.536,9.009,0.5269999999999992
9.216,9.536,0.3200000000000003
5.432,9.216,3.783999999999999
1.857,5.432,3.575
0.288,1.857,1.569
2.171,0.288,1.8829999999999998
6.31,2.171,4.138999999999999
8.627,6.31,2.317000000000001
9.68,8.627,1.052999999999999
10.885,9.68,1.205
5.92,10.885,4.965
3.014,5.92,2.906
3.262,3.014,0.24800000000000022
3.416,3.262,0.15399999999999991
2.975,3.416,0.44099999999999984
2.202,2.975,0.7730000000000001
2.22,2.202,0.018000000000000238
3.108,2.22,0.8879999999999999
4.084,3.108,0.9759999999999995
5.903,4.084,1.819
7.533,5.903,1.6300000000000008
7.57,7.533,0.03699999999999992
7.253,7.57,0.31700000000000017
6.148,7.253,1.1050000000000004
4.378,6.148,1.7699999999999996
4.36,4.378,0.017999999999999794
5.314,4.36,0.9539999999999997
4.65,5.314,0.6639999999999997
3.625,4.65,1.0250000000000004
2.666,3.625,0.9590000000000001
1.93,2.666,0.736
1.598,1.93,0.33199999999999985
1.629,1.598,0.030999999999999917
1.544,1.629,0.08499999999999996
1.519,1.544,0.025000000000000133
1.344,1.519,0.17499999999999982
0.789,1.344,0.555
0.493,0.789,0.29600000000000004
0.38,0.493,0.11299999999999999
0.472,0.38,0.09199999999999997
0.356,0.472,0.11599999999999999
0.16,0.356,0.19599999999999998
0.071,0.16,0.08900000000000001
0.036,0.071,0.034999999999999996
0.003,0.036,0.032999999999999995
0.0,0.003,0.003
0.002,0.0,0.002
0.009,0.002,0.006999999999999999
