true_values,predicted_values,abs_loss
1.5,1.515,0.014999999999999902
1.465,1.5,0.03499999999999992
1.419,1.465,0.04600000000000004
1.392,1.419,0.027000000000000135
1.461,1.392,0.06900000000000017
1.598,1.461,0.137
1.739,1.598,0.14100000000000001
1.834,1.739,0.09499999999999997
1.906,1.834,0.07199999999999984
1.948,1.906,0.04200000000000004
2.013,1.948,0.06499999999999995
2.112,2.013,0.0990000000000002
2.22,2.112,0.1080000000000001
2.37,2.22,0.1499999999999999
2.58,2.37,0.20999999999999996
2.795,2.58,0.21499999999999986
2.929,2.795,0.1339999999999999
3.047,2.929,0.11800000000000033
3.138,3.047,0.09099999999999975
3.133,3.138,0.004999999999999893
3.074,3.133,0.05900000000000016
3.042,3.074,0.03200000000000003
3.037,3.042,0.004999999999999893
3.074,3.037,0.03699999999999992
3.161,3.074,0.08700000000000019
3.317,3.161,0.15600000000000014
3.532,3.317,0.21499999999999986
3.731,3.532,0.19899999999999984
3.807,3.731,0.07600000000000007
3.78,3.807,0.027000000000000135
3.743,3.78,0.03699999999999992
3.759,3.743,0.016000000000000014
3.781,3.759,0.02200000000000024
3.825,3.781,0.04400000000000004
3.949,3.825,0.12399999999999967
4.064,3.949,0.11500000000000021
3.988,4.064,0.07600000000000007
3.859,3.988,0.129
3.833,3.859,0.0259999999999998
3.855,3.833,0.021999999999999797
3.867,3.855,0.01200000000000001
3.868,3.867,0.0009999999999998899
3.847,3.868,0.020999999999999908
3.595,3.847,0.2519999999999998
3.429,3.595,0.16600000000000037
3.295,3.429,0.1339999999999999
3.263,3.295,0.03200000000000003
3.307,3.263,0.04400000000000004
3.501,3.307,0.19399999999999995
4.083,3.501,0.5820000000000003
4.821,4.083,0.7379999999999995
5.347,4.821,0.5260000000000007
5.618,5.347,0.2709999999999999
5.555,5.618,0.06300000000000061
5.378,5.555,0.1769999999999996
5.294,5.378,0.08400000000000052
5.287,5.294,0.006999999999999673
5.167,5.287,0.1200000000000001
4.941,5.167,0.22599999999999998
4.842,4.941,0.0990000000000002
4.772,4.842,0.0699999999999994
4.694,4.772,0.07800000000000029
4.502,4.694,0.19200000000000017
4.119,4.502,0.383
3.706,4.119,0.4129999999999998
3.286,3.706,0.41999999999999993
2.856,3.286,0.43000000000000016
2.512,2.856,0.34399999999999986
2.184,2.512,0.32799999999999985
1.987,2.184,0.19700000000000006
1.93,1.987,0.05700000000000016
1.918,1.93,0.01200000000000001
1.876,1.918,0.04200000000000004
1.822,1.876,0.053999999999999826
1.749,1.822,0.07299999999999995
1.722,1.749,0.027000000000000135
1.695,1.722,0.026999999999999913
1.595,1.695,0.10000000000000009
1.499,1.595,0.09599999999999986
1.346,1.499,0.15300000000000002
1.143,1.346,0.20300000000000007
1.014,1.143,0.129
0.987,1.014,0.027000000000000024
0.945,0.987,0.04200000000000004
0.899,0.945,0.04599999999999993
0.903,0.899,0.0040000000000000036
0.991,0.903,0.08799999999999997
1.06,0.991,0.06900000000000006
1.136,1.06,0.07599999999999985
1.274,1.136,0.13800000000000012
1.339,1.274,0.06499999999999995
1.358,1.339,0.019000000000000128
1.458,1.358,0.09999999999999987
1.569,1.458,0.11099999999999999
1.639,1.569,0.07000000000000006
1.666,1.639,0.026999999999999913
1.64,1.666,0.026000000000000023
1.568,1.64,0.07199999999999984
1.462,1.568,0.1060000000000001
1.237,1.462,0.22499999999999987
0.97,1.237,0.2670000000000001
0.819,0.97,0.15100000000000002
0.728,0.819,0.09099999999999997
0.604,0.728,0.124
0.547,0.604,0.05699999999999994
0.498,0.547,0.049000000000000044
0.403,0.498,0.09499999999999997
0.33,0.403,0.07300000000000001
0.294,0.33,0.03600000000000003
0.234,0.294,0.05999999999999997
0.139,0.234,0.095
0.083,0.139,0.05600000000000001
0.081,0.083,0.0020000000000000018
0.085,0.081,0.0040000000000000036
0.089,0.085,0.00399999999999999
0.075,0.089,0.013999999999999999
0.07,0.075,0.0049999999999999906
0.071,0.07,0.000999999999999987
0.068,0.071,0.002999999999999989
0.062,0.068,0.006000000000000005
0.057,0.062,0.0049999999999999975
0.059,0.057,0.001999999999999995
0.061,0.059,0.0020000000000000018
0.069,0.061,0.008000000000000007
0.075,0.069,0.0059999999999999915
0.082,0.075,0.007000000000000006
0.106,0.082,0.023999999999999994
0.166,0.106,0.06000000000000001
0.205,0.166,0.03899999999999998
0.232,0.205,0.027000000000000024
0.287,0.232,0.054999999999999966
0.333,0.287,0.04600000000000004
0.371,0.333,0.03799999999999998
0.408,0.371,0.03699999999999998
0.406,0.408,0.0019999999999999463
0.388,0.406,0.018000000000000016
0.337,0.388,0.05099999999999999
0.28,0.337,0.056999999999999995
0.233,0.28,0.047000000000000014
0.191,0.233,0.04200000000000001
0.149,0.191,0.04200000000000001
0.082,0.149,0.06699999999999999
0.073,0.082,0.009000000000000008
0.071,0.073,0.0020000000000000018
0.074,0.071,0.0030000000000000027
0.078,0.074,0.0040000000000000036
0.079,0.078,0.0010000000000000009
0.081,0.079,0.0020000000000000018
0.083,0.081,0.0020000000000000018
0.083,0.083,0.0
0.081,0.083,0.0020000000000000018
0.075,0.081,0.006000000000000005
0.077,0.075,0.0020000000000000018
0.078,0.077,0.0010000000000000009
0.079,0.078,0.0010000000000000009
0.077,0.079,0.0020000000000000018
0.069,0.077,0.007999999999999993
0.06,0.069,0.009000000000000008
0.044,0.06,0.016
0.032,0.044,0.011999999999999997
0.025,0.032,0.006999999999999999
0.022,0.025,0.0030000000000000027
0.017,0.022,0.0049999999999999975
0.01,0.017,0.007000000000000001
0.003,0.01,0.007
0.0,0.003,0.003
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.001,0.0,0.001
0.003,0.001,0.002
0.004,0.003,0.001
0.0,0.004,0.004
0.001,0.0,0.001
0.004,0.001,0.003
0.008,0.004,0.004
0.014,0.008,0.006
0.021,0.014,0.007000000000000001
0.028,0.021,0.006999999999999999
0.037,0.028,0.008999999999999998
0.045,0.037,0.008
0.058,0.045,0.013000000000000005
0.082,0.058,0.024
0.322,0.082,0.24
0.566,0.322,0.24399999999999994
0.738,0.566,0.17200000000000004
0.827,0.738,0.08899999999999997
0.907,0.827,0.08000000000000007
1.018,0.907,0.11099999999999999
1.101,1.018,0.08299999999999996
1.17,1.101,0.06899999999999995
1.265,1.17,0.09499999999999997
1.387,1.265,0.12200000000000011
1.517,1.387,0.1299999999999999
1.662,1.517,0.14500000000000002
1.789,1.662,0.127
1.908,1.789,0.119
2.172,1.908,0.26400000000000023
2.647,2.172,0.47499999999999964
2.889,2.647,0.242
2.818,2.889,0.07099999999999973
2.774,2.818,0.04400000000000004
2.969,2.774,0.19499999999999984
3.136,2.969,0.16700000000000026
3.174,3.136,0.03799999999999981
3.162,3.174,0.01200000000000001
3.178,3.162,0.016000000000000014
3.188,3.178,0.010000000000000231
3.139,3.188,0.04900000000000038
3.031,3.139,0.10799999999999965
2.841,3.031,0.18999999999999995
2.701,2.841,0.14000000000000012
2.673,2.701,0.028000000000000025
2.641,2.673,0.03200000000000003
2.543,2.641,0.09799999999999986
2.494,2.543,0.04899999999999993
2.429,2.494,0.06500000000000039
2.392,2.429,0.03699999999999992
