true_values,predicted_values,abs_error
2.023,1.891548,0.13145196
2.408,2.086656,0.3213439
2.589,2.4904523,0.0985477
2.445,2.543933,0.09893298
2.449,2.4025953,0.0464046
2.268,2.4280548,0.16005492
2.278,2.1781378,0.09986234
2.32,2.2837362,0.036263704
2.262,2.4231567,0.16115665
2.279,2.2600498,0.018950224
2.312,2.3459604,0.033960342
2.339,2.369419,0.030419111
2.4459999999999997,2.387404,0.058596134
2.526,2.5175493,0.008450747
2.738,2.5701475,0.1678524
2.7260000000000004,2.7949948,0.06899476
1.898,2.7253213,0.8273213
1.389,1.4354064,0.04640639
1.287,1.2145175,0.07248247
1.227,1.3687403,0.14174032
0.914,1.1880937,0.2740937
0.768,0.8693296,0.101329565
0.8370000000000001,0.8391876,0.0021876097
0.9159999999999999,0.92054844,0.0045484304
0.835,0.99760616,0.16260618
0.769,0.8730476,0.1040476
0.64,0.84572566,0.20572567
0.627,0.74608004,0.11908007
0.614,0.7466186,0.1326186
0.518,0.73710334,0.21910334
0.586,0.67062616,0.08462614
0.7979999999999999,0.71945596,0.07854402
0.846,0.9091375,0.06313747
0.726,0.9168452,0.19084519
0.68,0.79587615,0.11587614
0.7509999999999999,0.7809819,0.029981911
0.915,0.84139955,0.07360047
1.1909999999999998,1.0194364,0.17156363
1.519,1.4340421,0.08495796
1.8130000000000002,1.8259455,0.012945533
2.356,2.012682,0.343318
3.3339999999999996,2.7238317,0.61016846
4.021,4.1337357,0.11273575
3.938,4.648468,0.71046805
3.985,3.7909234,0.19407654
4.452,4.4752674,0.02326727
4.796,4.8089714,0.012971401
5.575,5.131175,0.44382477
5.582999999999999,6.53979,0.95679
5.729,5.8890257,0.1600256
5.867999999999999,6.10203,0.23402977
5.982,6.2584505,0.27645063
5.997999999999999,6.2880983,0.2900982
5.732,6.2704954,0.53849554
5.767,5.8845015,0.11750126
5.9,6.124633,0.22463274
5.87,6.240882,0.37088203
6.6320000000000014,6.0593367,0.5726633
6.984,7.7939463,0.80994606
6.175,6.96601,0.7910099
6.138999999999999,6.268325,0.12932491
5.957000000000001,6.3309917,0.37399197
5.675,6.0999403,0.4249401
4.945,5.807,0.862
4.2700000000000005,4.653308,0.38330793
3.716,4.236472,0.52047205
3.306,3.6397026,0.33370256
3.0810000000000004,3.164044,0.08304381
2.066,2.9873312,0.92133117
1.499,2.0941045,0.5951046
1.2409999999999999,1.0033226,0.23767745
0.939,1.4686111,0.5296111
0.8959999999999999,0.82684135,0.06915867
0.94,0.99574447,0.05574447
1.112,1.0031608,0.108839154
1.186,1.2970403,0.111040354
1.286,1.2302657,0.055734277
1.274,1.4684815,0.19448149
1.1740000000000002,1.2414813,0.06748128
1.053,1.200203,0.14720297
0.8109999999999999,1.0559505,0.24495053
0.767,0.8422886,0.075288594
0.9179999999999999,0.86836505,0.049634933
1.041,1.0570863,0.01608634
0.98,1.1675506,0.18755054
0.769,1.0070523,0.23805231
0.675,0.82812524,0.15312523
0.687,0.7950127,0.108012736
0.843,0.81620705,0.026792943
0.971,0.99294674,0.021946728
1.206,1.1092037,0.096796274
1.4980000000000002,1.5101142,0.012114167
1.464,1.7938973,0.32989728
1.436,1.3042399,0.13176012
1.544,1.6736069,0.12960684
1.8619999999999999,1.6349492,0.22705078
2.193,2.3345017,0.14150167
2.551,2.347464,0.20353603
2.761,2.6924758,0.06852412
2.891,2.8174205,0.07357955
3.19,2.939218,0.250782
3.01,3.5006013,0.4906013
3.068,2.940981,0.12701917
5.212000000000001,3.2430363,1.9689636
9.24,7.2472687,1.9927311
10.366,11.073792,0.7077923
5.808,9.899624,4.091624
2.5660000000000003,6.2884254,3.7224255
1.044,3.4614496,2.4174495
0.34299999999999997,1.3684441,1.025444
0.253,0.41647243,0.16347244
0.7030000000000001,0.3471645,0.3558355
1.193,0.88268065,0.3103193
0.9159999999999999,1.7889968,0.8729968
2.465,0.78725946,1.6777405
3.471,4.1700125,0.6990125
2.0709999999999997,4.263214,2.192214
1.228,2.0158417,0.7878417
1.666,0.8631606,0.8028394
2.858,3.1636713,0.30567122
2.286,3.5151687,1.2291687
1.656,2.2368145,0.5808145
1.5219999999999998,1.2628522,0.25914776
1.763,2.0325842,0.26958418
2.079,2.000197,0.07880306
2.316,2.4559817,0.13998175
2.24,2.5104847,0.2704847
2.449,2.351877,0.09712291
3.299,2.5989711,0.7000289
4.5200000000000005,4.171752,0.348248
5.234,5.4552984,0.22129822
5.434,5.82938,0.39538002
5.7170000000000005,5.7896595,0.07265949
6.167000000000001,6.313343,0.14634323
6.695,6.8617096,0.16670942
6.912999999999999,7.13974,0.22673988
6.5889999999999995,7.2058687,0.6168685
6.151,6.819666,0.6686659
5.962000000000001,6.2869663,0.32496643
5.968,6.350047,0.38204718
