true_values,predicted_values,abs_error
0.198,0.2367172,0.038717195
0.551,0.3438156,0.2071844
1.02,0.87893313,0.14106685
1.227,1.5788984,0.35189843
1.226,1.4508102,0.22481024
1.361,1.3419914,0.019008517
1.753,1.5873259,0.16567409
2.373,1.9971958,0.37580407
2.75,2.5671158,0.18288422
2.292,2.837834,0.5458338
2.021,2.039026,0.018026114
2.089,1.9811898,0.10781014
1.984,2.1782553,0.19425535
1.92,1.933265,0.013265014
2.023,1.9155221,0.1074779
2.408,2.0786467,0.32935333
2.589,2.4874337,0.101566315
2.445,2.5841548,0.13915491
2.449,2.3690362,0.079963684
2.268,2.4512944,0.18329453
2.278,2.1966386,0.08136153
2.32,2.2896428,0.030357122
2.262,2.3307772,0.068777084
2.279,2.2311306,0.047869444
2.312,2.2847004,0.027299643
2.339,2.3152044,0.023795605
2.446,2.3355074,0.11049271
2.526,2.463666,0.06233406
2.738,2.5268104,0.21118951
2.726,2.781537,0.055536985
1.898,2.6826494,0.7846494
1.389,1.503408,0.1144079
1.287,1.2435488,0.04345119
1.227,1.4425383,0.21553826
0.914,1.2522377,0.3382377
0.768,0.8005133,0.03251332
0.837,0.8844882,0.047488213
0.916,1.0284262,0.11242616
0.835,1.0561718,0.2211718
0.769,0.8590375,0.090037525
0.64,0.8742002,0.23420024
0.627,0.64139086,0.014390886
0.614,0.7976438,0.18364376
0.518,0.6732707,0.1552707
0.586,0.54857683,0.037423193
0.798,0.8028067,0.0048066974
0.846,1.0582199,0.2122199
0.726,0.9117141,0.18571407
0.68,0.7447972,0.06479722
0.751,0.8002348,0.049234807
0.915,0.9228336,0.0078336
1.191,1.1314019,0.05959809
1.519,1.4427767,0.07622337
1.813,1.7337763,0.07922363
2.356,1.9604604,0.39553952
3.334,2.5338256,0.8001745
4.021,3.9754548,0.0455451
3.938,4.240317,0.3023169
3.985,3.8226728,0.16232705
4.452,4.03939,0.41261005
4.796,4.793044,0.0029559135
5.575,4.929827,0.6451726
5.583,6.3350563,0.7520561
5.729,4.8197603,0.90923977
5.868,6.0998898,0.23188972
5.982,5.770477,0.21152306
5.998,6.171155,0.17315483
5.732,5.9691644,0.2371645
5.767,5.4717517,0.2952485
5.9,6.0657372,0.16573715
5.87,5.8740253,0.0040254593
6.632,5.875035,0.75696516
6.984,7.196752,0.21275187
6.175,6.650907,0.47590685
6.139,5.4858723,0.6531277
5.957,6.591628,0.6346283
5.675,5.297753,0.37724733
4.945,5.642789,0.6977887
4.27,4.3258743,0.055874348
3.716,4.094223,0.37822294
3.306,3.6042097,0.29820967
3.081,3.2820055,0.20100546
2.066,3.1594114,1.0934114
1.499,1.7851541,0.28615415
1.241,1.3980012,0.15700114
0.939,1.4836602,0.5446602
0.896,0.9034584,0.007458389
0.94,1.2136624,0.2736624
1.112,1.1480204,0.0360204
1.186,1.4122174,0.22621739
1.286,1.3609548,0.07495475
1.274,1.4841563,0.2101562
1.174,1.3849485,0.21094847
1.053,1.2256624,0.17266238
0.811,1.1236756,0.3126756
0.767,0.77622795,0.0092279315
0.918,0.95847994,0.040479958
1.041,1.167109,0.126109
0.98,1.2022412,0.22224116
0.769,1.0207003,0.25170034
0.675,0.7496648,0.07466477
0.687,0.79784524,0.11084527
0.843,0.8182613,0.02473867
0.971,1.0932924,0.12229234
1.206,1.1294041,0.0765959
1.498,1.4432199,0.054780126
1.464,1.7063913,0.24239135
1.436,1.4681873,0.032187343
1.544,1.5009308,0.043069243
1.862,1.6678762,0.19412374
2.193,1.9926707,0.20032942
2.551,2.2699423,0.28105783
2.761,2.625114,0.13588595
2.891,2.7885795,0.10242057
3.19,2.9124274,0.27757263
3.01,3.2960925,0.28609252
3.068,2.8728712,0.19512892
5.212,3.102687,2.109313
9.24,6.8020887,2.437911
10.366,7.611973,2.7540274
5.808,7.6818194,1.8738194
2.566,3.8493743,1.2833743
1.044,2.2499657,1.2059656
0.343,0.9432633,0.6002633
0.253,0.3953277,0.1423277
0.703,0.23173511,0.4712649
1.193,2.0405052,0.8475052
0.916,1.3260374,0.4100374
2.465,0.80215716,1.6628428
3.471,3.2538602,0.21713972
2.071,3.6826181,1.611618
1.228,1.6102486,0.38224852
1.666,0.94937533,0.7166247
2.858,2.1543412,0.7036588
2.286,3.3856752,1.0996752
1.656,1.7984009,0.14240086
1.522,1.4308615,0.09113848
1.763,1.72489,0.038110018
