true_values,predicted_values,abs_error
1.753,1.4431245,0.3098755
2.373,2.0888875,0.28411245
2.75,3.0516157,0.30161572
2.2920000000000003,2.9298906,0.6378906
2.021,1.8397233,0.18127656
2.089,1.8657272,0.2232728
1.984,1.9908912,0.0068912506
1.92,1.7546842,0.16531575
2.023,1.7359641,0.28703594
2.408,1.9565322,0.45146775
2.589,2.6061811,0.017181158
2.445,2.6698687,0.22486877
2.449,2.2482612,0.20073867
2.268,2.3636563,0.095656395
2.278,2.0665076,0.21149254
2.32,2.2100413,0.10995865
2.262,2.2605963,0.0014038086
2.279,2.1349976,0.14400244
2.312,2.2061179,0.10588217
2.339,2.2515323,0.08746767
2.4459999999999997,2.2774963,0.16850376
2.526,2.4486296,0.077370405
2.738,2.5196886,0.21831131
2.7260000000000004,2.8514116,0.12541151
1.898,2.6942565,0.79625654
1.389,1.4844017,0.095401645
1.287,1.1466455,0.1403544
1.227,1.2956295,0.0686295
0.914,1.0606526,0.14665264
0.768,0.7010923,0.066907704
0.8370000000000001,0.7222378,0.11476219
0.9159999999999999,0.86823964,0.047760367
0.835,0.89812315,0.06312317
0.769,0.68579775,0.08320224
0.64,0.6789061,0.038906097
0.627,0.54420817,0.082791805
0.614,0.6004256,0.013574421
0.518,0.5905837,0.072583675
0.586,0.43264818,0.15335184
0.7979999999999999,0.6184,0.1796
0.846,0.9777564,0.13175637
0.726,0.7594719,0.033471882
0.68,0.47718638,0.20281363
0.7509999999999999,0.6463182,0.10468179
0.915,0.7865907,0.12840933
1.1909999999999998,0.9477984,0.24320161
1.519,1.2920722,0.22692788
1.8130000000000002,1.6761936,0.13680637
2.356,1.9224474,0.4335525
3.3339999999999996,2.7800243,0.5539758
4.021,4.219439,0.19843912
3.938,4.466488,0.5284879
3.985,3.8254523,0.15954757
4.452,3.8145435,0.63745666
4.796,4.778836,0.01716423
5.575,4.996871,0.5781288
5.582999999999999,5.6821165,0.099116325
5.729,5.3293996,0.3996005
5.867999999999999,5.509248,0.35875225
5.982,5.627785,0.35421467
5.997999999999999,5.8436966,0.15430355
5.732,5.695515,0.03648472
5.767,5.2494164,0.51758385
5.9,5.4725103,0.42748976
5.87,5.7644405,0.10555935
6.6320000000000014,5.611782,1.0202179
6.984,6.596093,0.38790703
6.175,6.9076805,0.7326803
6.138999999999999,5.3639164,0.77508354
5.957000000000001,5.434991,0.5220089
5.675,5.7224317,0.04743147
4.945,5.4261303,0.48113012
4.2700000000000005,4.450008,0.18000793
3.716,3.9737105,0.25771046
3.306,3.5376318,0.23163176
3.0810000000000004,3.1786714,0.09767127
2.066,3.0766835,1.0106835
1.499,1.7301654,0.23116541
1.2409999999999999,1.3333385,0.09233844
0.939,1.2162429,0.2772429
0.8959999999999999,0.8183445,0.077655554
0.94,0.9472287,0.007228732
1.112,0.94429374,0.16770625
1.186,1.1627924,0.023207545
1.286,1.1069015,0.17909849
1.274,1.2245187,0.049481392
1.1740000000000002,1.1253353,0.04866469
1.053,0.98825455,0.064745426
0.8109999999999999,0.92616785,0.115167856
0.767,0.64134914,0.12565088
0.9179999999999999,0.74909896,0.16890103
1.041,0.9908918,0.050108194
0.98,0.999809,0.019809008
0.769,0.7920189,0.023018897
0.675,0.5948851,0.0801149
0.687,0.6356664,0.051333606
0.843,0.67789376,0.16510624
0.971,0.89805526,0.07294476
1.206,0.940487,0.26551294
1.4980000000000002,1.2407953,0.25720477
1.464,1.5469959,0.08299589
1.436,1.2153147,0.22068524
1.544,1.2537242,0.2902758
1.8619999999999999,1.4998255,0.3621745
2.193,1.9606799,0.23232019
2.551,2.3411362,0.2098639
2.761,2.7585335,0.0024664402
2.891,2.8452692,0.04573083
3.19,2.9322503,0.2577498
3.01,3.3941052,0.3841052
3.068,2.9811482,0.086851835
5.212000000000001,3.0395637,2.1724362
9.24,6.1195107,3.1204891
10.366,10.670488,0.30448818
5.808,10.4776945,4.6696944
2.5660000000000003,4.4143715,1.8483715
1.044,2.3933234,1.3493234
0.34299999999999997,1.0526835,0.7096835
0.253,0.43766847,0.18466848
0.7030000000000001,0.3455984,0.3574016
1.193,1.1511779,0.041822076
0.9159999999999999,1.5071123,0.59111226
2.465,0.72264767,1.7423522
3.471,3.7089796,0.23797965
2.0709999999999997,4.640017,2.569017
1.228,2.1831796,0.9551796
1.666,1.1435632,0.52243686
2.858,2.3623405,0.4956596
2.286,3.8111758,1.5251758
1.656,2.264631,0.608631
1.5219999999999998,1.4345222,0.0874778
1.763,1.6507902,0.1122098
2.079,1.8413528,0.23764718
2.316,2.252687,0.06331301
2.24,2.4791808,0.2391808
2.449,2.16883,0.28016996
3.299,2.5803795,0.71862054
4.5200000000000005,4.115881,0.404119
5.234,5.1905394,0.043460846
5.434,5.224068,0.20993185
5.7170000000000005,5.243865,0.473135
6.167000000000001,5.5876026,0.5793972
6.695,6.090805,0.6041951
6.912999999999999,6.6295385,0.28346157
6.5889999999999995,6.680437,0.09143686
6.151,5.979445,0.17155504
5.962000000000001,5.455247,0.50675297
5.968,5.6559515,0.31204844
6.0840000000000005,5.805605,0.27839518
6.311,5.8317122,0.47928762
6.6400000000000015,6.1080847,0.5319152
7.067,6.4779696,0.58903027
7.415,6.942734,0.4722662
7.694,7.2410665,0.4529333
7.72,7.4902124,0.22978735
7.894,7.349165,0.5448351
7.9879999999999995,7.655632,0.3323679
7.742999999999999,7.761072,0.018072128
7.444,7.030505,0.4134946
7.426,6.7684884,0.6575117
7.364,7.179307,0.18469286
7.415,6.910824,0.50417614
7.65,7.0434504,0.60654974
7.815,7.47131,0.34368992
8.19,7.5303574,0.6596422
8.381,8.151336,0.22966385
8.451,8.253322,0.19767857
8.599,8.018171,0.58082867
8.746,8.512977,0.23302364
8.798,8.707525,0.09047508
8.501,8.336277,0.1647234
8.202,7.6715736,0.530426
7.947,7.764111,0.18288898
7.445,7.299383,0.14561701
7.112,6.429016,0.6829839
7.0840000000000005,6.4437532,0.64024687
7.127000000000001,6.8440666,0.28293324
6.995,6.7154894,0.2795105
6.282,6.4899406,0.20794058
5.992000000000001,5.3973885,0.59461164
6.062,5.66086,0.40113974
6.122999999999999,5.878063,0.24493694
6.205,5.800759,0.40424109
6.039,5.9494953,0.08950472
5.962000000000001,5.568444,0.39355612
6.567,5.7063246,0.86067533
7.308,6.5133,0.79470015
8.38,7.151052,1.2289481
