year,month,date,hour,forecast 0-surface_pressure,forecast 0-temp@2M,forecast 0-wind_gust_speed,forecast 0-2_M_rel_humid,forecast 0-temp_gnd_lvl,forecast 1-surface_pressure,forecast 1-temp@2M,forecast 1-wind_gust_speed,forecast 1-2_M_rel_humid,forecast 1-temp_gnd_lvl,forecast 2-surface_pressure,forecast 2-temp@2M,forecast 2-wind_gust_speed,forecast 2-2_M_rel_humid,forecast 2-temp_gnd_lvl
2010,1,1,5,99920,272.4,3,94.51,272.22,99920,272.4,3,94.63,272.26,99830,272.8,4,93.6,272.69
2010,1,1,6,99870,272.4,3,93.22,272.13,99890,272.4,3,94.29,272.28,99900,272.9,4,92.66,272.79
2010,1,1,7,99870,272.5,3,92.73,272.27,99980,272.5,3,94.68,272.37,99850,272.9,4,94.27,272.86
2010,1,1,8,99920,272.4,2,100,272.26,99910,272.5,3,97.9,272.46,99830,273,3,95.48,272.92
2010,1,1,9,99860,272.4,2,100,272.35,99870,272.5,3,98.46,272.5,99740,273,4,96.41,272.9
2010,1,1,10,99810,272.3,2,100,272.34,99780,272.8,3,96.39,272.68,99760,273.3,4,95.55,273.26
2010,1,1,11,99790,272.6,3,100,272.65,99810,272.8,3,95.7,272.72,99810,273.3,4,95.5,273.17
2010,1,1,12,99820,272.7,3,100,272.8,99940,272.9,3,96.26,272.74,99850,273.2,3,94.68,272.96
2010,1,1,13,99880,272.7,2,99.96,272.6,99860,272.7,2,98.62,272.61,99800,273.6,3,93.29,273.54
2010,1,1,14,99850,273.4,2,93.55,272.72,99830,273.6,3,92.88,273.53,99830,274.9,3,87.23,274.68
2010,1,1,15,99810,274.2,2,90.86,273.56,99830,273.9,2,91.42,273.4,99740,273.7,2,94.62,273.6
2010,1,1,16,99770,274.5,2,89.13,273.39,99750,274,2,92.08,273.64,99740,273.9,4,96.75,273.7
2010,1,1,17,99710,274.7,2,85.89,273.74,99680,273.9,3,94.01,273.7,99670,274.1,8,94.52,273.69
2010,1,1,18,99640,274.6,5,85.08,273.79,99660,273.9,8,93.23,273.56,99740,273.5,10,91.87,273.11
2010,1,1,19,99640,274.7,10,82.71,273.71,99830,273.5,10,89.91,273.05,99810,272.7,11,88.08,272.21
2010,1,1,20,99710,273.8,10,81.62,272.92,99760,272.9,11,88.5,272.47,99770,272.1,11,87.77,271.66
2010,1,1,21,99720,273,10,82.41,272.39,99830,272.1,11,86.32,271.69,99780,271.5,9,86.62,271.03
2010,1,1,22,99740,272.1,10,80.62,271.52,99740,271.4,9,87.05,271.01,99740,271.2,8,87.71,270.79
2010,1,1,23,99710,271.7,11,79.49,270.93,99820,271.1,9,85.62,270.68,99760,270.8,8,89.33,270.42
2010,1,2,0,99700,271.4,10,77.43,270.83,99710,270.8,9,86.17,270.4,99660,270.5,8,89.72,270.12
2010,1,2,1,99650,270.8,8,79.26,270.31,99580,270.3,8,87.19,269.9,99620,270.1,8,89.24,269.7
2010,1,2,2,99560,270.4,8,80.19,269.9,99630,270.1,8,87.43,269.68,99620,270,9,90.4,269.6
2010,1,2,3,99530,270.1,7,80,269.54,99530,269.8,9,88.77,269.45,99510,269.9,10,90.96,269.53
2010,1,2,4,99460,269.8,8,80.82,269.32,99600,269.8,10,89.7,269.47,99460,270,10,91.31,269.61
2010,1,2,5,99430,269.5,9,82.53,269.16,99380,269.7,10,90.63,269.38,99420,269.8,10,92.3,269.49
2010,1,2,6,99390,269.5,10,84.98,269.28,99440,269.4,11,91.54,269.03,99480,269.6,9,93,269.22
2010,1,2,7,99420,269,9,86.97,268.81,99500,269,9,92.58,268.63,99550,269,8,91.82,268.63
2010,1,2,8,99460,268.3,7,90.03,268.35,99550,268.4,8,91.68,268.01,99540,268.2,8,91.29,267.77
2010,1,2,9,99500,267.6,6,90.46,267.65,99540,267.6,8,91.29,267.19,99500,267.2,8,89.42,266.76
2010,1,2,10,99540,266.9,6,91.26,266.96,99530,266.9,9,90.99,266.48,99650,266.4,8,87.8,265.97
2010,1,2,11,99550,266.3,9,91.18,266.25,99690,266,8,89.1,265.55,99700,265.3,8,87.16,264.92
2010,1,2,12,99580,265.3,5,87.09,265.62,99610,265.6,8,87.83,265.27,99570,265.2,10,87.4,264.81
2010,1,2,13,99580,264.8,5,86.9,265.04,99510,265.4,9,89.12,265.03,99690,265.2,10,85.48,264.79
2010,1,2,14,99610,264.8,10,89.41,264.86,99710,264.3,10,86.11,263.91,99920,263.9,8,82.62,263.54
2010,1,2,15,99720,264.4,10,83.74,263.91,99860,263.9,8,84.7,263.5,99940,263.6,8,82.3,263.31
2010,1,2,16,99750,264,8,81.26,263.42,99820,263.9,8,84.06,263.59,99820,263.5,8,82.73,263.18
2010,1,2,17,99690,263.7,7,79.5,263.35,99710,263.7,8,84.17,263.35,99790,263.4,8,82.87,263.05
2010,1,2,18,99640,263.3,7,80.84,263.14,99870,263.1,7,83.99,262.72,99890,262.7,6,83.27,262.29
2010,1,2,19,99720,262.5,7,79.47,262.34,99870,262.7,7,84.57,262.31,99850,262.5,7,85.53,262.09
2010,1,2,20,99730,262.1,6,80.2,261.91,99890,262.1,6,85.25,261.67,99810,261.9,7,86.01,261.53
2010,1,2,21,99760,261.4,5,82.22,261.33,99840,261.7,6,86.23,261.4,99860,261.9,6,86.61,261.47
2010,1,2,22,99810,261.2,5,82.99,261.27,99880,261.6,6,86.43,261.25,99780,261.7,7,86.2,261.32
2010,1,2,23,99820,261.1,6,84.66,261.02,99800,261.2,5,85.7,260.75,99750,261.2,7,86.16,260.77
2010,1,3,0,99800,261.1,6,83.66,260.83,99740,260.9,7,84.28,260.48,99750,261,8,84.59,260.57
2010,1,3,1,99770,261.2,10,81.61,260.57,99760,261,8,85.53,260.59,99800,261.1,9,84.23,260.73
2010,1,3,2,99750,261.3,8,83.47,260.7,99800,261.3,8,86.3,260.88,99720,261.4,9,85.74,260.97
2010,1,3,3,99680,261.3,7,84.93,260.8,99710,261.5,8,87.02,261.12,99580,261.7,9,86.93,261.34
2010,1,3,4,99610,261.2,6,85.68,260.93,99580,261.6,8,87.74,261.24,99470,262,10,87.1,261.64
2010,1,3,5,99530,261.1,7,87.41,261.03,99540,261.6,9,87.24,261.22,99280,261.9,11,86.52,261.53
2010,1,3,6,99450,261,6,87.99,260.95,99270,261.6,9,87.83,261.21,99280,262.2,12,86.85,261.83
2010,1,3,7,99330,261.4,8,87.64,261.21,99320,261.8,10,87.29,261.4,99310,262.2,14,84.78,261.78
2010,1,3,8,99330,261.6,8,87.59,261.33,99320,262.1,12,86.76,261.68,99310,262.3,15,84.64,261.87
2010,1,3,9,99240,261.6,8,87.95,261.44,99280,262.2,11,86.82,261.85,99150,262.7,15,85.38,262.35
2010,1,3,10,99170,261.6,8,88.94,261.57,99150,262.6,12,87.46,262.24,99080,263.2,16,85.03,262.81
2010,1,3,11,99130,262.1,8,88.84,262.03,99110,262.9,13,86.84,262.55,99060,263.2,16,84.06,262.81
2010,1,3,12,99110,262.5,13,88.75,262.55,99000,262.4,16,84.71,262.02,99090,262.2,15,82.36,261.74
2010,1,3,13,99050,261.7,11,89.67,261.84,99050,261.9,16,84.09,261.5,99150,261.5,14,81.69,261.06
2010,1,3,14,99080,261.3,13,88.1,261.26,99130,261,13,82.1,260.58,99220,260.9,12,81.39,260.45
2010,1,3,15,99200,260.9,12,85.06,260.63,99270,260.8,12,82.41,260.37,99360,260.9,10,82.62,260.51
2010,1,3,16,99230,261.1,12,81.1,260.39,99320,261.2,9,84.46,260.87,99300,261.8,8,85.51,261.44
2010,1,3,17,99230,261.3,9,81.18,260.74,99200,261.8,7,86.73,261.47,99230,262.5,7,87.14,262.18
2010,1,3,18,99170,262.1,7,82.03,261.5,99260,262.4,5,87.65,262.13,99230,263.1,8,87.94,262.76
2010,1,3,19,99250,262.8,7,80.64,262.21,99240,263,7,88.13,262.69,99200,263.5,8,88.41,263.11
2010,1,3,20,99210,263.1,7,83.07,262.69,99260,263.3,7,88.3,262.99,99170,263.7,8,89.58,263.38
2010,1,3,21,99270,263.2,7,84.75,262.93,99240,263.6,8,89.07,263.23,99280,264.1,7,89.87,263.72
2010,1,3,22,99330,263.5,7,86.88,263.27,99410,263.7,7,89.34,263.33,99300,264,7,89.97,263.64
2010,1,3,23,99440,263.5,7,87.9,263.27,99430,263.7,7,89.43,263.41,99320,264,6,89.65,263.7
2010,1,4,0,99470,263.4,7,88.73,263.46,99470,263.7,7,89.39,263.39,99420,263.9,7,88.89,263.55
2010,1,4,1,99500,263.6,6,89.21,263.37,99440,263.7,7,88.96,263.36,99440,263.8,8,88.43,263.4
2010,1,4,2,99520,263.6,6,88.44,263.4,99500,263.6,8,88.64,263.29,99530,263.7,7,88.77,263.32
2010,1,4,3,99480,263.6,7,86.53,263.2,99630,263.6,8,87.89,263.29,99470,263.6,6,88.92,263.29
2010,1,4,4,99530,263.2,6,87.27,263.05,99490,263.3,6,87.88,263.13,99410,263.3,6,88.06,263.15
2010,1,4,5,99500,263.2,6,85.9,263.09,99450,263.1,6,86.82,262.99,99410,263.1,6,87.69,263
2010,1,4,6,99450,263.2,6,84.64,263.03,99460,263.1,6,86.57,263.05,99420,263.2,5,87.75,263.08
2010,1,4,7,99450,263.3,6,83.68,263.07,99480,263.1,6,86.72,263.03,99360,263.1,5,88.08,263.02
2010,1,4,8,99480,263.3,5,83.06,263.05,99440,263.2,5,86.72,263.09,99390,263.3,5,87.81,263.1
2010,1,4,9,99440,263.4,5,82.63,263.14,99470,263.3,5,86.56,263.18,99420,263.4,5,87.5,263.2
2010,1,4,10,99450,263.5,5,82.18,263.17,99490,263.4,5,86.14,263.24,99410,263.4,5,87.66,263.24
2010,1,4,11,99500,263.4,5,84.34,263.19,99490,263.4,5,87.13,263.17,99380,263.4,5,88.39,263.19
2010,1,4,12,99520,263.6,5,83.73,263.36,99470,263.5,5,85.97,263.14,99460,263.5,5,87.14,263.18
2010,1,4,13,99510,263.7,5,84.7,263.26,99480,263.6,6,87.57,263.22,99500,263.8,5,87.6,263.4
2010,1,4,14,99550,263.9,6,85.39,263.43,99580,263.8,5,87.75,263.4,99540,264,5,86.5,263.62
2010,1,4,15,99590,264.5,5,81.74,263.73,99570,263.8,6,86.29,263.37,99500,263.9,5,84.05,263.6
2010,1,4,16,99570,264.8,6,79.43,263.77,99520,264.3,5,83.9,263.93,99510,264.6,5,81.93,264.31
2010,1,4,17,99510,265,6,78.52,264.04,99540,264.8,5,84.65,264.41,99510,264.7,5,84.74,264.29
2010,1,4,18,99480,265.2,5,77.69,264.47,99490,264.8,6,83.4,264.36,99550,264.4,4,84.5,263.98
2010,1,4,19,99440,265.1,6,77.03,264.36,99530,264.6,5,81.38,264.13,99500,264.1,3,84.59,263.74
2010,1,4,20,99480,264.6,5,76.66,264.06,99550,264.2,5,81.92,263.84,99440,263.5,3,86.24,263.03
2010,1,4,21,99530,264.2,5,78.55,263.83,99510,263.7,3,82.61,263.3,99600,263.6,3,86.1,263.27
2010,1,4,22,99550,264,5,79.56,263.36,99610,263.6,3,85.34,263.18,99610,263.5,3,86.78,263.12
2010,1,4,23,99640,263.9,4,82.81,263.33,99670,263.7,3,87.15,263.33,99510,263.5,3,87.33,263.17
2010,1,5,0,99670,263.8,5,85.73,263.38,99630,263.6,4,83.73,263.14,99630,263.2,4,84.35,262.82
2010,1,5,1,99650,263.8,5,83.89,263.27,99680,263.4,4,83.53,262.97,99680,262.4,3,87.53,261.97
2010,1,5,2,99670,263.4,4,83.01,262.95,99600,263.3,4,85.56,263,99560,263,3,87.73,262.63
2010,1,5,3,99600,263.5,4,84.34,263.09,99650,263.5,4,85.25,263.09,99620,263.3,3,86.46,262.97
2010,1,5,4,99640,263.6,3,81.93,263.11,99620,263.6,4,85.75,263.48,99610,263.8,3,87.89,263.66
2010,1,5,5,99610,263.7,4,83.86,263.47,99600,263.7,4,86.69,263.54,99520,263.8,3,88.9,263.6
2010,1,5,6,99580,263.7,3,85.15,263.52,99560,263.6,3,88.19,263.5,99550,263.8,2,89.56,263.53
2010,1,5,7,99550,263.7,3,85.33,263.49,99550,263.7,2,88.29,263.52,99600,263.9,2,89.51,263.54
2010,1,5,8,99560,263.8,3,85.97,263.54,99610,263.8,2,88.4,263.47,99700,263.7,2,89.96,263.23
2010,1,5,9,99540,263.9,2,85.68,263.43,99720,263.7,2,88.89,263.5,99600,263.7,2,89.99,263.5
2010,1,5,10,99560,263.8,2,87.11,263.33,99620,263.7,3,88.95,263.63,99580,263.9,3,89.35,263.85
2010,1,5,11,99540,263.6,2,87.79,263.44,99600,263.7,3,88.46,263.67,99480,263.9,3,89.26,263.77
2010,1,5,12,99550,263.7,2,88.09,263.83,99590,264,2,88.41,263.76,99550,264.3,3,87.75,264.04
2010,1,5,13,99570,263.8,2,87.02,263.72,99550,264.1,3,87.93,263.9,99580,265.1,3,85.54,264.84
2010,1,5,14,99570,264.7,4,85.76,264.09,99630,264.8,3,87.92,264.45,99610,265.4,3,85.92,265.07
2010,1,5,15,99590,265.5,5,83.77,264.62,99660,265.8,6,85.41,265.42,99510,265.8,5,87.88,265.43
2010,1,5,16,99520,266.3,6,79.28,265.4,99570,266.2,7,86.01,265.83,99480,266.5,7,86.99,266.11
2010,1,5,17,99450,266.7,7,80.54,265.82,99550,267,7,85.22,266.62,99450,267.1,6,86.82,266.75
2010,1,5,18,99410,267.2,6,80.24,266.53,99370,267.1,6,86.35,266.7,99340,267.2,6,87.37,266.83
2010,1,5,19,99350,267.4,7,80.26,266.72,99380,267,6,87.37,266.56,99390,266.8,6,88.7,266.41
